Year,DNO_Code,DNO_Name,Tariff_Name,LLFCs,PCs,Red_Rate_p_kWh,Amber_Rate_p_kWh,Green_Rate_p_kWh,Fixed_Charge_p_day,Capacity_Charge_p_kVA_day,Document,Document_Reference
2023,WMID,West Midlands,HV Site Specific No Residual,"H00, HST",0,1.183,0.208,0.017,102.26,5.64,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,HV Site Specific Band 1,"365, 367",0,1.183,0.208,0.017,1252.15,5.64,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,HV Site Specific Band 2,H02,0,1.183,0.208,0.017,3709.74,5.64,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,HV Site Specific Band 3,H03,0,1.183,0.208,0.017,8155.65,5.64,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,HV Site Specific Band 4,H04,0,1.183,0.208,0.017,25189.56,5.64,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,Unmetered Supplies,"95, 96, 97, 98, 99","0, 1 or 8",20.482,2.897,2.03,0.0,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,LV Generation Aggregated,625,0,-4.187,-0.744,-0.087,0.0,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,LV Sub Generation Aggregated,570,0,-3.468,-0.619,-0.07,0.0,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,LV Generation Site Specific,"571, 573",0,-4.187,-0.744,-0.087,0.0,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,LV Generation Site Specific no RP charge,"141, 142",0,-4.187,-0.744,-0.087,0.0,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,LV Sub Generation Site Specific,"572, 574",0,-3.468,-0.619,-0.07,0.0,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,LV Sub Generation Site Specific no RP charge,"143, 144",0,-3.468,-0.619,-0.07,0.0,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,HV Generation Site Specific,"575, 577",0,-1.752,-0.322,-0.03,63.9,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2023,WMID,West Midlands,HV Generation Site Specific no RP charge,"145, 146",0,-1.752,-0.322,-0.03,63.9,0.0,MIDE-Schedule of charges and other tables-2023 V.0.1 for publishing.xlsx,2023 v0.1
2024,WMID,West Midlands,Domestic Aggregated with Residual,"1, 4, 632","0, 1, 2",6.562,1.152,0.155,24.98,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Domestic Aggregated (Related MPAN),34,2,6.562,1.152,0.155,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Non-Domestic Aggregated No Residual,"N10, N20, N30","0, 3, 4, 5-8",6.427,1.128,0.152,10.73,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Non-Domestic Aggregated Band 1,"7, 10, 21, 19, 633, 322, 323","0, 3, 4, 5-8",6.427,1.128,0.152,17.81,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Non-Domestic Aggregated Band 2,"N12, N22, N32","0, 3, 4, 5-8",6.427,1.128,0.152,52.18,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Non-Domestic Aggregated Band 3,"N13, N23, N33","0, 3, 4, 5-8",6.427,1.128,0.152,111.63,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Non-Domestic Aggregated Band 4,"N14, N24, N34","0, 3, 4, 5-8",6.427,1.128,0.152,337.82,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Non-Domestic Aggregated (related MPAN),40,4,6.427,1.128,0.152,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Site Specific No Residual,"L00, LST",0,4.331,0.76,0.096,15.25,5.16,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Site Specific Band 1,"127, 129",0,4.331,0.76,0.096,530.98,5.16,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Site Specific Band 2,L02,0,4.331,0.76,0.096,958.77,5.16,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Site Specific Band 3,L03,0,4.331,0.76,0.096,1496.46,5.16,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Site Specific Band 4,L04,0,4.331,0.76,0.096,2755.48,5.16,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Site Specific No Residual,"S00, SST",0,2.616,0.458,0.046,12.01,5.77,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Site Specific Band 1,128,0,2.616,0.458,0.046,527.74,5.77,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Site Specific Band 2,S02,0,2.616,0.458,0.046,955.52,5.77,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Site Specific Band 3,S03,0,2.616,0.458,0.046,1493.22,5.77,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Site Specific Band 4,S04,0,2.616,0.458,0.046,2752.23,5.77,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,HV Site Specific No Residual,"H00, HST",0,1.318,0.215,0.019,106.98,6.08,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,HV Site Specific Band 1,"365, 367",0,1.318,0.215,0.019,2527.64,6.08,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,HV Site Specific Band 2,H02,0,1.318,0.215,0.019,7634.95,6.08,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,HV Site Specific Band 3,H03,0,1.318,0.215,0.019,17269.82,6.08,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,HV Site Specific Band 4,H04,0,1.318,0.215,0.019,51159.03,6.08,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,Unmetered Supplies,"95, 96, 97, 98, 99","0, 1 or 8",24.191,4.295,3.312,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Generation Aggregated,625,0,-4.496,-0.789,-0.107,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Generation Aggregated,570,0,-3.739,-0.656,-0.085,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Generation Site Specific,"571, 573",0,-4.496,-0.789,-0.107,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Generation Site Specific no RP charge,"141, 142",0,-4.496,-0.789,-0.107,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Generation Site Specific,"572, 574",0,-3.739,-0.656,-0.085,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,LV Sub Generation Site Specific no RP charge,"143, 144",0,-3.739,-0.656,-0.085,0.0,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,HV Generation Site Specific,"575, 577",0,-1.944,-0.339,-0.034,66.66,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2024,WMID,West Midlands,HV Generation Site Specific no RP charge,"145, 146",0,-1.944,-0.339,-0.034,66.66,0.0,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,2024 v0.1
2025,SWAE,South Wales,Domestic Aggregated or CT with Residual,"100,105,800,860,101,106,801,861,116,D01","0, 1, 2",19.258,1.453,0.267,10.57,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Domestic Aggregated (Related MPAN),"194, 843",2,19.258,1.453,0.267,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Non-Domestic Aggregated or CT No Residual,"N10,N20,N30,M10,B10,X10,X20,X30,Y10,Z10","0, 3, 4, 5-8",20.116,1.518,0.279,15.36,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Non-Domestic Aggregated or CT Band 1,"1,2,3,117,200,201,810,811,862,863,X11,X21,X31,Y11,Z11","0, 3, 4, 5-8",20.116,1.518,0.279,17.43,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Non-Domestic Aggregated or CT Band 2,"N12,N22,N32,M12,B12,X12,X22,X32,Y12,Z12","0, 3, 4, 5-8",20.116,1.518,0.279,19.11,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Non-Domestic Aggregated or CT Band 3,"N13,N23,N33,M13,B13,X13,X23,X33,Y13,Z13","0, 3, 4, 5-8",20.116,1.518,0.279,23.24,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Non-Domestic Aggregated or CT Band 4,"N14,N24,N34,M14,B14,X14,X24,X34,Y14,Z14","0, 3, 4, 5-8",20.116,1.518,0.279,37.36,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Non-Domestic Aggregated (related MPAN),294,4,20.116,1.518,0.279,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Site Specific No Residual,"L00, LST",0,13.227,0.933,0.193,18.46,10.61,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Site Specific Band 1,300,0,13.227,0.933,0.193,59.39,10.61,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Site Specific Band 2,L02,0,13.227,0.933,0.193,94.16,10.61,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Site Specific Band 3,L03,0,13.227,0.933,0.193,143.39,10.61,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Site Specific Band 4,L04,0,13.227,0.933,0.193,309.56,10.61,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Site Specific No Residual,"S00, SST",0,8.4,0.481,0.138,14.41,10.29,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Site Specific Band 1,344,0,8.4,0.481,0.138,55.33,10.29,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Site Specific Band 2,S02,0,8.4,0.481,0.138,90.1,10.29,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Site Specific Band 3,S03,0,8.4,0.481,0.138,139.34,10.29,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Site Specific Band 4,S04,0,8.4,0.481,0.138,305.51,10.29,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,HV Site Specific No Residual,"H00, HST",0,5.908,0.303,0.099,133.08,10.65,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,HV Site Specific Band 1,400,0,5.908,0.303,0.099,369.05,10.65,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,HV Site Specific Band 2,H02,0,5.908,0.303,0.099,858.26,10.65,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,HV Site Specific Band 3,H03,0,5.908,0.303,0.099,1613.64,10.65,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,HV Site Specific Band 4,H04,0,5.908,0.303,0.099,3600.47,10.65,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,Unmetered Supplies,"718, 701, 719, 720, 700","0, 1 or 8",63.41,3.021,1.723,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Generation Aggregated,697,0,-13.528,-1.021,-0.187,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Generation Aggregated,717,0,-11.74,-0.852,-0.168,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Generation Site Specific,"697, 603",0,-13.528,-1.021,-0.187,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Generation Site Specific no RP charge,"91, 92",0,-13.528,-1.021,-0.187,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Generation Site Specific,"602, 604",0,-11.74,-0.852,-0.168,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,LV Sub Generation Site Specific no RP charge,"93, 94",0,-11.74,-0.852,-0.168,0.0,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,HV Generation Site Specific,"698, 606",0,-6.975,-0.399,-0.115,83.29,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2025,SWAE,South Wales,HV Generation Site Specific no RP charge,"95, 96",0,-6.975,-0.399,-0.115,83.29,0.0,SWAE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx,2025 v0.1
2026,SWAE,South Wales,Domestic Aggregated or CT with Residual,"100,105,800,860,101,106,801,861,116,D01","0, 1, 2",18.538,1.53,0.294,12.01,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Domestic Aggregated (Related MPAN),"194, 843",2,18.538,1.53,0.294,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Non-Domestic Aggregated or CT No Residual,"N10,N20,N30,M10,B10,X10,X20, X30,Y10,Z10","0, 3, 4, 5-8",20.286,1.674,0.321,15.3,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Non-Domestic Aggregated or CT Band 1,"1,2,3,117,200,201,810,811,862,863,X11,X21,X31, Y11,Z11","0, 3, 4, 5-8",20.286,1.674,0.321,18.14,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Non-Domestic Aggregated or CT Band 2,"N12,N22,N32,M12,B12,X12,X22, X32,Y12,Z12","0, 3, 4, 5-8",20.286,1.674,0.321,23.18,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Non-Domestic Aggregated or CT Band 3,"N13,N23,N33,M13,B13,X13,X23, X33,Y13,Z13","0, 3, 4, 5-8",20.286,1.674,0.321,31.87,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Non-Domestic Aggregated or CT Band 4,"N14,N24,N34,M14,B14,X14,X24, X34,Y14,Z14","0, 3, 4, 5-8",20.286,1.674,0.321,58.04,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Non-Domestic Aggregated (related MPAN),294,4,20.286,1.674,0.321,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Site Specific No Residual,"L00, LST",0,12.885,0.989,0.206,17.88,10.49,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Site Specific Band 1,300,0,12.885,0.989,0.206,94.61,10.49,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Site Specific Band 2,L02,0,12.885,0.989,0.206,165.52,10.49,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Site Specific Band 3,L03,0,12.885,0.989,0.206,268.48,10.49,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Site Specific Band 4,L04,0,12.885,0.989,0.206,600.61,10.49,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Site Specific No Residual,"S00, SST",0,8.545,0.526,0.14,13.96,10.07,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Site Specific Band 1,344,0,8.545,0.526,0.14,90.69,10.07,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Site Specific Band 2,S02,0,8.545,0.526,0.14,161.6,10.07,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Site Specific Band 3,S03,0,8.545,0.526,0.14,264.56,10.07,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Site Specific Band 4,S04,0,8.545,0.526,0.14,596.69,10.07,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,HV Site Specific No Residual,"H00, HST",0,5.953,0.327,0.096,128.84,10.43,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,HV Site Specific Band 1,400,0,5.953,0.327,0.096,692.19,10.43,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,HV Site Specific Band 2,H02,0,5.953,0.327,0.096,1590.95,10.43,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,HV Site Specific Band 3,H03,0,5.953,0.327,0.096,2871.8,10.43,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,HV Site Specific Band 4,H04,0,5.953,0.327,0.096,6566.48,10.43,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,Unmetered Supplies,"718, 701, 719, 720, 700","0, 1 or 8",65.378,3.224,1.882,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Generation Aggregated,697,0,-12.886,-1.063,-0.204,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Generation Aggregated,717,0,-11.227,-0.888,-0.179,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Generation Site Specific,"697, 603",0,-12.886,-1.063,-0.204,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Generation Site Specific no RP charge,"91, 92",0,-12.886,-1.063,-0.204,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Generation Site Specific,"602, 604",0,-11.227,-0.888,-0.179,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,LV Sub Generation Site Specific no RP charge,"93, 94",0,-11.227,-0.888,-0.179,0.0,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,HV Generation Site Specific,"698, 606",0,-6.811,-0.419,-0.112,80.63,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2026,SWAE,South Wales,HV Generation Site Specific no RP charge,"95, 96",0,-6.811,-0.419,-0.112,80.63,0.0,SWAE - Schedule of charges and other tables- 2026 V.0.1 for publishing.xlsx,2026 v0.1
2022,SWAE,South Wales,Domestic Aggregated with Residual,"100, 105, 800, 860, 101, 106, 801, 861, 116","1, 2 or 0",9.959,1.131,0.161,16.15,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Domestic Aggregated (Related MPAN),"194, 843",2,9.959,1.131,0.161,,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Non-Domestic Aggregated No Residual,"N10, N20, N30, M10, B10",3 to 8 or 0,8.56,0.972,0.138,10.0,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Non-Domestic Aggregated Band 1,"1, 2, 3, 117, 200, 201, 810, 811, 862, 863",3 to 8 or 0,8.56,0.972,0.138,15.16,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Non-Domestic Aggregated Band 2,"N12, N22, N32, M12, B12",3 to 8 or 0,8.56,0.972,0.138,38.12,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Non-Domestic Aggregated Band 3,"N13, N23, N33, M13, B13",3 to 8 or 0,8.56,0.972,0.138,79.8,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Non-Domestic Aggregated Band 4,"N14, N24, N34, M14, B14",3 to 8 or 0,8.56,0.972,0.138,227.01,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Non-Domestic Aggregated (related MPAN),294,4,8.56,0.972,0.138,,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Site Specific No Residual,"L00, LST",0,6.559,0.733,0.11,15.42,3.62,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Site Specific Band 1,300,0,6.559,0.733,0.11,344.02,3.62,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Site Specific Band 2,L02,0,6.559,0.733,0.11,698.0,3.62,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Site Specific Band 3,L03,0,6.559,0.733,0.11,1106.65,3.62,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Site Specific Band 4,L04,0,6.559,0.733,0.11,2427.99,3.62,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Sub Site Specific No Residual,"S00, SST",0,4.49,0.484,0.083,12.05,3.79,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Sub Site Specific Band 1,344,0,4.49,0.484,0.083,340.65,3.79,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Sub Site Specific Band 2,S02,0,4.49,0.484,0.083,694.63,3.79,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Sub Site Specific Band 3,S03,0,4.49,0.484,0.083,1103.28,3.79,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,LV Sub Site Specific Band 4,S04,0,4.49,0.484,0.083,2424.62,3.79,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,HV Site Specific No Residual,"H00, HST",0,3.687,0.383,0.07,110.64,3.92,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,HV Site Specific Band 1,400,0,3.687,0.383,0.07,1184.26,3.92,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,HV Site Specific Band 2,H02,0,3.687,0.383,0.07,5996.96,3.92,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,HV Site Specific Band 3,H03,0,3.687,0.383,0.07,12233.24,3.92,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,HV Site Specific Band 4,H04,0,3.687,0.383,0.07,27262.15,3.92,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
2022,SWAE,South Wales,Unmetered Supplies,"718, 701, 719, 720, 700","0, 1 or 8",26.616,3.744,2.56,,,SWAE-Schedule of charges and other tables-2022 V.0.1.xlsx,2022 v0.1
